,deck_code,region_1,region_2,champion_1,champion_2,champion_3,champion_4,matches_played
110,CIBAEAIDEUUAOAQGBAFRUIBBFU5AEAQBAMCB6AQCAYKBYAQCAIDAEEQDAEBRMLZT,Noxus,Bilgewater,Twisted Fate,Gangplank,None,None,110
111,CIBAEAQFBAFAWAQGAELR2HRFE4WC6NJWHAAACAICAUBQ,Shadow Isles,Bilgewater,Maokai,Nautilus,None,None,104
112,CIBQCAICFEBQEAQDAUEQMAIEAENR6JBUHIBACAIEE4CACAQCAQYTQAA,Ionia,Piltover & Zaun,Karma,Ezreal,None,None,104
113,CIBQEAICBEMAIAIFC4UCUMIDAICQCBQJAIBACAQGGECACBIHCQKS6AIBAECQG,Ionia,Shadow Isles,Zed,Hecarim,None,None,104
114,CIBAEAQBAIDQWAQGAUEAWDIUDQQCCIRRHIAACAICAEEA,Freljord,Bilgewater,Sejuani,Gangplank,None,None,102
115,CIBAEAIBAQLAWAICAIDASDARCULSQLBSHEAACAIBAIYQ,Freljord,Ionia,Zed,None,None,None,102
116,CIBQCAQGCYEACAABBEFRKGQ5E4VQEAQAAYEQEAQBAAUTGAICAAFACAICAADQ,Bilgewater,Demacia,Miss Fortune,Quinn,None,None,100
117,CIBAGAIDAQPSCBYBAEBQWFQ6EYUTAAYBAEBTKAQBAECCUAICAEBAEAIBAMZQCAQBA4,Noxus,Freljord,Ashe,Sejuani,None,None,100
118,CIBAGAIFB4UDMBQBAEBQYFAYE4UQEAIBAELQIAIFAEJRIHICAEAQCNACAECRSII,Shadow Isles,Freljord,Anivia,Tryndamere,None,None,98
119,CICAGAIBAMETEAICAEDQGAIDAQPC4BQCAMAQGBAHBAEQAAIBAEARI,Freljord,Noxus,Braum,Swain,None,None,97
120,CIBAEAIBAQLAUAICAIDASDARCUUCYMRZAIAQCARRAEBAEBIA,Freljord,Ionia,Zed,None,None,None,97
121,CICAEAICBQHQCAQCAUBQCAZEFY3QGAQDAEDQSAYBAEBTMBABAIBCKLRYAEBAECIBAEAQEMI,Ionia,Noxus,Yasuo,Swain,None,None,97
122,CIBQEAIBAQLACAQBA4EQEBQFBAIRIJBGHE5D2AQBAEAQKAICAYSQA,Freljord,Bilgewater,None,None,None,None,97
123,CIBAGAIFFAYTIBICAYCAQIBCFUBAGAIFCQOS4AYCAYJBYJQCAEBAMAQDAECQCDZW,Shadow Isles,Bilgewater,Thresh,Gangplank,None,None,95
124,CIBAIAIEDMSC2NAIAIDAQCYUDIOCCLJ2AEBAEBQ5GEAA,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,95
125,CIBAKAIBBQKBQJZJAYAQKAIPDUUDMNYCAEAQCFYBAECQIAQBAEATIAQBAUMSC,Freljord,Shadow Isles,Anivia,Tryndamere,None,None,94
126,CIBQKAQGBALCAJR2AUAQGAQPDYSSQAQCAMBQIAQBAEBS6AICAYWQA,Bilgewater,Noxus,Miss Fortune,Gangplank,None,None,93
127,CIBQIAIFAEOSQMIFAEAQGCIUDAZACAQBA4AQIAIFAMHRIKYCAEAQCCYBAECTM,Shadow Isles,Freljord,Braum,Anivia,None,None,93
128,CIBAGAQFA4EAUBQCAYLSOLBPGU4AEAQCAYOSKBABAUAR2KBWAEAQEBQ6,Shadow Isles,Bilgewater,Maokai,Nautilus,None,None,92
129,CIBQCAIDCQFACBABBQGRYJRHFAWTINQBAICAKAQBAEBSOAIBAQIQA,Noxus,Piltover & Zaun,Draven,Jinx,None,None,91
130,CICAEAIDDYXQGAQDAEDQQAQBAELC4BACAEAQEBQJAIAQCAJSAIBAGAYGAEAQEAYE,Noxus,Freljord,Swain,Sejuani,None,None,91
